trans_id,cust_id,account,card_nbr,tranno,month_nbr,bill,trans_type,txn_datetime
1,1,100,100,100,3,100.2,消费,2015-3-12
2,2,101,101,101,4,101.2,消费,2015-3-13
3,3,102,102,102,5,102.2,还款,2015-3-14
4,4,103,103,103,6,103.2,消费,2015-3-15
5,5,104,104,104,7,104.2,还款,2015-3-16
6,1,105,105,105,8,105.2,还款,2015-3-17
7,7,106,106,106,9,106.2,消费,2015-3-18
8,22,107,107,107,10,107.2,还款,2015-3-19
9,9,108,108,108,11,108.2,还款,2015-3-20
10,1,109,109,109,12,109.2,还款,2015-3-21
11,11,110,110,110,13,110.2,消费,2015-3-22
12,23,111,111,111,14,111.2,消费,2015-3-23
13,13,112,112,112,15,112.2,还款,2015-3-24
14,14,113,113,113,16,113.2,消费,2015-3-25
15,15,114,114,114,17,114.2,还款,2015-3-26
16,1,115,115,115,18,115.2,消费,2015-3-27
17,17,116,116,116,19,116.2,消费,2015-3-28
18,18,117,117,117,20,117.2,消费,2015-3-29
19,1,118,118,118,21,118.2,消费,2015-3-30
20,22,119,119,119,22,119.2,消费,2015-3-31
21,21,120,120,120,23,120.2,消费,2015-4-1
22,22,121,121,121,24,121.2,消费,2015-4-2
23,23,122,122,122,25,122.2,消费,2015-4-3
24,24,123,123,123,26,123.2,消费,2015-4-4
25,25,124,124,124,27,124.2,消费,2015-4-5
26,26,125,125,125,28,125.2,消费,2015-4-6
27,27,126,126,126,29,126.2,消费,2015-4-7
28,28,127,127,127,30,127.2,消费,2015-4-8
